publishedAt,title,body,rating,author,useful
2021-03-12T08:59:15+0100,Warme jas,,5,"{'country': 'NL', 'authorId': 11848034, 'firstname': 'Teunis', 'gender': 'Man', 'countryLabel': 'Nederland'}",True
2021-02-18T09:03:18+0100,Sportieve en comfortabele winterjas.,,5,"{'country': 'NL', 'authorId': 12087765, 'firstname': 'Bob', 'gender': 'Man', 'countryLabel': 'Nederland'}",True
2021-02-18T09:04:11+0100,Lekkere warme winterjas,,4,"{'country': 'NL', 'authorId': 6483259, 'firstname': 'Roy', 'countryLabel': 'Nederland'}",True
2021-02-15T09:32:08+0100,Geweldig!!,,5,"{'country': 'NL', 'authorId': 12071704, 'firstname': 'Saskia', 'gender': 'Man', 'age': '60 of ouder', 'countryLabel': 'Nederland'}",True
2021-01-21T09:51:55+0100,"Super warme jas, laat de winter maar komen.",,4,"{'country': 'NL', 'authorId': 11905111, 'firstname': 'Peter', 'countryLabel': 'Nederland'}",True
2021-01-12T08:01:19+0100,bestel een L krijg ik na 8 dagen een XL opgestuurd,,1,"{'country': 'NL', 'authorId': 11952800, 'firstname': 'Marian', 'gender': 'Vrouw', 'age': '60 of ouder', 'countryLabel': 'Nederland'}",True
2020-12-23T10:13:51+0100,heerlijke warme jas.,,5,"{'country': 'NL', 'authorId': 7128979, 'firstname': 'Jaap', 'countryLabel': 'Nederland'}",True
2020-12-07T09:29:08+0100,Super warme jas,,5,"{'country': 'NL', 'authorId': 11812174, 'firstname': 'MONICA', 'gender': 'Vrouw', 'countryLabel': 'Nederland'}",True
2020-11-02T08:20:54+0100,Maakt belofte waar,,5,"{'country': 'NL', 'authorId': 11665048, 'firstname': 'Paul', 'gender': 'Man', 'age': '60 of ouder', 'countryLabel': 'Nederland'}",True
2020-10-26T07:54:09+0100,Heerlijke warme jas.,,5,"{'country': 'NL', 'authorId': 11616922, 'firstname': 'Daniel', 'countryLabel': 'Nederland'}",True
2020-10-12T08:19:50+0200,Geweldige warme jas!,,5,"{'country': 'NL', 'authorId': 11535959, 'firstname': 'Jeroen', 'gender': 'Man', 'countryLabel': 'Nederland'}",True
2020-10-05T08:04:27+0200,Geweldig,,5,"{'country': 'NL', 'authorId': 11490674, 'firstname': 'Jelle', 'gender': 'Man', 'age': '20-29', 'countryLabel': 'Nederland'}",True
2020-07-24T08:37:43+0200,Fijne maar zware jas,,4,"{'country': 'NL', 'authorId': 10997245, 'firstname': 'Jose', 'countryLabel': 'Nederland'}",True
2019-01-24T10:37:19+0100,Winterjas,,5,"{'country': 'NL', 'authorId': 7398174, 'firstname': 'Madelon', 'gender': 'Vrouw', 'age': '30-39', 'countryLabel': 'Nederland'}",True
2019-01-17T13:04:36+0100,Warme winterjas,,4,"{'country': 'NL', 'authorId': 7383482, 'firstname': 'Tamara', 'gender': 'Vrouw', 'age': '30-39', 'countryLabel': 'Nederland'}",True
2018-12-31T08:58:43+0100,Houd me heerlijk warm!!,,5,"{'country': 'NL', 'authorId': 7323217, 'firstname': 'shahzad', 'gender': 'Man', 'age': '20-29', 'countryLabel': 'Nederland'}",True
2018-12-14T15:20:49+0100,Jas met flinke kanttekeningen,,1,"{'country': 'NL', 'authorId': 7260307, 'firstname': 'Jan', 'gender': 'Man', 'age': '50-59', 'countryLabel': 'Nederland'}",False
